Scheme Name,Category,Description,Apply Link,Min Age,Max Age,Gender,Caste,Income Max (Annual),Occupation,Disability Required,Marital status,Religion,state,Education Required,Minority status,For Orphans,Eligibility Summary
Industrial Development of UT of Jammu and Kashmir,DPIIT,New industrial initiative to boost entrepreneurship and employment.,https://www.myscheme.gov.in,18,none,any,any,null,Industrial Unit,any,any,any,Central,none,any,any,All eligible industrial units under notified sectors in J&K.
Industrial Development of Ladakh 2022,DPIIT,Aims to create infrastructure and incentives for industries in Ladakh.,https://www.myscheme.gov.in,18,none,any,any,null,Industrial Unit,any,any,any,Central,none,any,any,New and existing units under Ladakh’s industrial policy.
Refund of Central and Integrated Gst to Units in NE/Himalayas,DPIIT,Refund of CGst and IGst for eligible manufacturing units to ease tax burden.,https://www.myscheme.gov.in,18,none,any,any,null,Manufacturing Unit,any,any,any,Central,none,any,any,Units in NE and Himalayan states under notified refund guidelines.
Postal Operation,Department of Posts,"Covers core postal services, mail delivery, logistics, customer services, and postal network growth.",https://www.myscheme.gov.in,none,none,any,any,null,Citizen / Govt Employee,any,any,any,Central,none,any,any,Open to all citizens as users; internally operational for service improvement.
India Post Payments Bank (IPPB),Department of Posts,Banking services through postal network at citizen’s doorstep.,https://www.myscheme.gov.in,18,none,any,any,null,any,any,any,any,Central,none,any,any,any Indian resident with valid KYC documents.
Human Resource Management,Department of Posts,Training and skill development for postal employees.,https://www.myscheme.gov.in,18,none,any,any,null,Postal Department Employee,any,any,any,Central,none,any,any,Employees of the Department of Posts.
Estates Management,Department of Posts,Maintenance and management of postal buildings and staff quarters.,https://www.myscheme.gov.in,18,none,any,any,null,Postal Department Employee,any,any,any,Central,none,any,any,Applicable to postal employees and internal offices only.
IT Modernization Project 2.0,Department of Posts,Digitization and modernization of core postal and banking services.,https://www.myscheme.gov.in,18,none,any,any,null,Postal Dept / general Public,any,any,any,Central,none,any,any,"Postal offices, postal employees, and Indian citizens availing digital services."
Optical Fibre Cable-based Network for Defence Services,Department of Telecommunications,Lays secure OFC networks for defence communication.,https://www.myscheme.gov.in,18,none,any,any,null,Defence Services / MoD Units,any,any,any,Central,none,any,any,Ministry of Defence and allied defence units.
Domestic Industry Incentivisation scheme,Department of Telecommunications,Promotes Atmanirbhar Bharat by incentivizing domestic telecom manufacturers.,https://www.myscheme.gov.in,18,none,any,any,null,Telecom Manufacturer,any,any,any,Central,none,any,any,Indian manufacturers registered under telecom production/investment norms.
Wireless Planning and Coordination,Department of Telecommunications,Manages wireless spectrum planning and licensing across India.,https://www.myscheme.gov.in,18,none,any,any,null,Telecom Operator / Broadcaster / Govt Dept,any,any,any,Central,none,any,any,"Telecom operators, broadcasters, and government spectrum users."
Telecom Testing and Security Certification Centre,Department of Telecommunications,Certifies telecom equipment for compliance with quality and security norms.,https://www.myscheme.gov.in,18,none,any,any,null,Telecom Vendors / OEMs,any,any,any,Central,none,any,any,Telecom vendors and original equipment manufacturers.
Telecom Computer Emergency Response Team (T-CERT),Department of Telecommunications,Protects telecom infrastructure by responding to cybersecurity threats.,https://www.myscheme.gov.in,18,none,any,any,null,Telecom Operator / ISP,any,any,any,Central,none,any,any,Telecom operators and ISPs under regulatory monitoring.
5G Connectivity Test Bed,Department of Telecommunications,Develops testing ecosystem for 5G innovations and applications in India.,https://www.myscheme.gov.in,18,none,any,any,null,Academic / startup / Telecom Company,any,any,any,Central,none,any,any,Institutions and startups engaged in 5G-related research and development.
Digital Intelligence Unit Project,Department of Telecommunications,Special unit for telecom fraud detection and investigation.,https://www.myscheme.gov.in,18,none,any,any,null,Regulatory Authority / Enforcement Body,any,any,any,Central,none,any,any,For use by telecom regulatory and enforcement agencies only.
Price stabilisation Fund,Department of Consumer Affairs,Aims to stabilize prices of essential commodities by managing buffer stocks and supply shocks.,https://www.myscheme.gov.in,none,none,any,any,null,Central/state Agencies (e.g./ NAFED/ FCI),any,any,any,Central,none,any,any,"Implemented via govt agencies like NAFED, FCI; no direct individual eligibility."
CONFONET,Department of Consumer Affairs,Computerization and networking of consumer dispute redressal forums across all levels.,https://www.myscheme.gov.in,none,none,any,any,null,Consumer Forums (National/state/District),any,any,any,Central,none,any,any,Applicable to judicial institutions handling consumer cases.
Consumer Awareness (Advertising & Publicity),Department of Consumer Affairs,Media campaigns and outreach for educating consumers about their rights and responsibilities.,https://www.myscheme.gov.in,none,none,any,any,null,general Public / Media / Outreach Agencies,any,any,any,Central,none,any,any,Awareness campaign targeting general public; implemented through empaneled or govt outreach channels.
Price Monitoring structure,Department of Consumer Affairs,Monitors daily retail prices of essential items to help in price control decisions.,https://www.myscheme.gov.in,none,none,any,any,null,Govt Departments / Market Analysts,any,any,any,Central,none,any,any,"Managed by government and statistical departments, not individuals."
Ways and Means Advance to FCI,Department of Food and Public Distribution,Short-term financial support to FCI to manage cash flow issues.,https://www.myscheme.gov.in,none,none,any,any,null,Food Corporation of India,any,any,any,Central,none,any,any,Food Corporation of India (FCI) for short-term cash flow support.
scheme for Creation and Maintenance of Buffer stock of Sugar,Department of Food and Public Distribution,stabilizes sugar prices and supply by maintaining buffer stock.,https://www.myscheme.gov.in,none,none,any,any,null,Sugar Mill,any,any,any,Central,none,any,any,Sugar mills selected by the government to maintain buffer stock.
scheme for Extending Financial Assistance to Sugar Mills,Department of Food and Public Distribution,Assists sugar mills in clearing cane arrears to farmers.,https://www.myscheme.gov.in,none,none,any,any,null,Sugar Mill,any,any,any,Central,none,any,any,Registered sugar mills with cane payment liabilities.
strengthening of PDS Operations,Department of Food and Public Distribution,Enhances transparency and efficiency in Public Distribution System.,https://www.myscheme.gov.in,none,none,any,any,null,state Government/ UT Government,any,any,any,Central,none,any,any,state/UT governments implementing PDS reform initiatives.
storage and Godowns,Department of Food and Public Distribution,Develops storage infrastructure for buffer stock and smooth PDS operations.,https://www.myscheme.gov.in,none,none,any,any,null,Central Warehousing Agency/ state Warehousing Agency/ FCI,any,any,any,Central,none,any,any,Warehousing agencies and FCI involved in infrastructure development.
Actual Recoveries,Department of Food and Public Distribution,Reflects receipts or recoveries under the head of food subsidies. (not a beneficiary scheme),https://www.myscheme.gov.in,none,none,any,any,null,Government Department,any,any,any,Central,none,any,any,Internal government accounting entry – not applicable to individuals/orgs.
Integrated scheme on Agricultural Cooperation (ISAC),Ministry of Cooperation,Financial aid for cooperative societies in agriculture and allied sectors.,https://www.myscheme.gov.in,none,none,any,any,null,Cooperative Society/ Federation,any,any,any,Central,none,any,any,Registered cooperative societies/federations in agriculture or allied sectors.
Co-operative Education,Ministry of Cooperation,Educates cooperative members and public on cooperative principles and management.,https://www.myscheme.gov.in,none,none,any,any,null,Cooperative Member/ Cooperative Leader,any,any,any,Central,none,any,any,Members and leaders of cooperative societies participating in educational efforts.
Cooperative Training,Ministry of Cooperation,Provides professional training to cooperative personnel for efficient functioning.,https://www.myscheme.gov.in,none,none,any,any,null,Cooperative Employee/ Official,any,any,any,Central,none,any,any,Employees and officials of cooperative societies undergoing formal training.
Corporate Data Management (CDM),Ministry of Corporate Affairs,Enhances corporate data integration and quality for regulatory and policy use.,https://www.myscheme.gov.in,21,none,any,any,null,Ministry Departments/ MCA-21 Users/ Analysts/ Government Users,any,any,any,Central,Graduate+,any,any,"Ministry officials, analysts, and authorized MCA-21 system users."
New Internship Programme,Ministry of Corporate Affairs,"Internship opportunities in company law, governance, and policy for students.",https://www.myscheme.gov.in,21,none,any,any,null,student/ Intern,any,any,any,Central,Graduate+,any,any,"students pursuing UG/PG in Law, Economics, Finance, etc., from recognized institutes."
"Centenaries and Anniversaries, Celebrations and schemes",Cultural Celebrations & Commemorations,"Supports events for national icons, anniversaries, and festivals.",https://www.myscheme.gov.in,18,none,any,any,null,Government Agency/ Cultural Organization/ Institution,any,any,any,Central,none,any,any,Gov. agencies and cultural orgs approved for national celebration events.
Kala Sanskriti Vikas Yojana,Art and Culture Promotion,"Grants for cultural promotion via performing arts, research, and visual art.",https://www.myscheme.gov.in,18,none,any,any,null,Artist/ Individual/ Cultural Group/ NGO,any,any,any,Central,none,any,any,"Eligible individuals, artists, and orgs as per sub-scheme guidelines."
